Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote
Afghanistan,<200 ,<100 , <500,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<500 ,<100 , <1000,,<1000 ,<200 , 1100,,<1000 ,<200 , 1400,,<1000 ,<500 , 1700,,1200 ,<500 , 2100,,1400 ,<500 , 2400,,1700 ,<1000 , 2900,,2000 ,<1000 , 3300,,2300 ,<1000 , 3900,,2700 ,<1000 , 4600,,3100 ,1200 , 5300,,3600 ,1400 , 6300,,4100 ,1600 , 7700,,4600 ,1900 , 8800,,5100 ,2100 , 9900,,5700 ,2300 , 12 000,,6200 ,2500 , 14 000,,6800 ,2800 , 15 000,,7300 ,3000 , 17 000,,7900 ,3200 , 20 000,,8400 ,3400 , 23 000,,9000 ,3700 , 27 000,,9500 ,3900 , 29 000,,10 000 ,4200 , 32 000,,10 000 ,4400 , 35 000,,11 000 ,4700 , 37 000,,11 000 ,4700 , 38 000,,12 000 ,4800 , 40 000,,12 000 ,4800 , 41 000,,12 000 ,4900 , 42 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication."
Algeria,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,1000 ,<1000 , 1100,,1100 ,1000 , 1200,,1200 ,1100 , 1400,,1400 ,1200 , 1500,,1500 ,1300 , 1600,,1600 ,1500 , 1700,,1800 ,1600 , 1900,,2000 ,1800 , 2100,,2100 ,1900 , 2300,,2300 ,2100 , 2500,,2600 ,2300 , 2800,,2800 ,2500 , 3100,,3100 ,2700 , 3300,,3300 ,2800 , 3600,,3400 ,2900 , 3800,,3600 ,3100 , 4100,,3900 ,3100 , 4400,,4100 ,3200 , 4800,,4300 ,3300 , 5300,,4600 ,3400 , 5700,
Angola,5100 ,2600 , 11 000,,6500 ,3400 , 13 000,,8300 ,4300 , 17 000,,10 000 ,5600 , 21 000,,13 000 ,7000 , 25 000,,16 000 ,8700 , 30 000,,20 000 ,11 000 , 36 000,,24 000 ,14 000 , 43 000,,29 000 ,17 000 , 51 000,,34 000 ,20 000 , 59 000,,40 000 ,24 000 , 67 000,,47 000 ,29 000 , 76 000,,55 000 ,35 000 , 85 000,,63 000 ,41 000 , 95 000,,72 000 ,48 000 , 110 000,,81 000 ,56 000 , 120 000,,91 000 ,65 000 , 130 000,,100 000 ,73 000 , 140 000,,110 000 ,83 000 , 160 000,,130 000 ,93 000 , 170 000,,140 000 ,100 000 , 180 000,,150 000 ,120 000 , 200 000,,170 000 ,130 000 , 210 000,,180 000 ,140 000 , 230 000,,200 000 ,160 000 , 240 000,,210 000 ,170 000 , 260 000,,220 000 ,180 000 , 270 000,,240 000 ,200 000 , 290 000,,250 000 ,210 000 , 310 000,,270 000 ,220 000 , 320 000,,280 000 ,240 000 , 330 000,,290 000 ,250 000 , 350 000,,300 000 ,250 000 , 350 000,
Argentina,<500 ,<500 , <1000,,<1000 ,<1000 , 1100,,1300 ,<1000 , 1600,,2000 ,1500 , 2400,,2900 ,2300 , 3500,,4000 ,3300 , 4800,,5500 ,4600 , 6400,,7100 ,6200 , 8300,,9100 ,8000 , 10 000,,11 000 ,9600 , 12 000,,12 000 ,11 000 , 14 000,,14 000 ,12 000 , 16 000,,15 000 ,13 000 , 17 000,,17 000 ,15 000 , 19 000,,19 000 ,16 000 , 21 000,,20 000 ,17 000 , 23 000,,22 000 ,18 000 , 25 000,,23 000 ,19 000 , 27 000,,25 000 ,20 000 , 28 000,,26 000 ,21 000 , 30 000,,27 000 ,21 000 , 32 000,,28 000 ,22 000 , 33 000,,29 000 ,22 000 , 34 000,,30 000 ,22 000 , 35 000,,30 000 ,22 000 , 36 000,,31 000 ,22 000 , 37 000,,31 000 ,22 000 , 38 000,,31 000 ,22 000 , 39 000,,32 000 ,21 000 , 40 000,,32 000 ,21 000 , 40 000,,32 000 ,20 000 , 41 000,,32 000 ,20 000 , 41 000,,31 000 ,19 000 , 41 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,
Australia,1800 ,1700 , 2000,"Children estimates were not available at the time of publication.",2200 ,2100 , 2500,"Children estimates were not available at the time of publication.",2700 ,2500 , 3000,"Children estimates were not available at the time of publication.",3100 ,2900 , 3500,"Children estimates were not available at the time of publication.",3600 ,3200 , 4000,"Children estimates were not available at the time of publication.",3900 ,3600 , 4400,"Children estimates were not available at the time of publication.",4300 ,3900 , 4800,"Children estimates were not available at the time of publication.",4300 ,3800 , 4800,"Children estimates were not available at the time of publication.",4100 ,3700 , 4700,"Children estimates were not available at the time of publication.",3900 ,3400 , 4500,"Children estimates were not available at the time of publication.",3600 ,3100 , 4100,"Children estimates were not available at the time of publication.",3200 ,2800 , 3800,"Children estimates were not available at the time of publication.",2900 ,2500 , 3500,"Children estimates were not available at the time of publication.",2700 ,2300 , 3300,"Children estimates were not available at the time of publication.",2500 ,2100 , 3100,"Children estimates were not available at the time of publication.",2400 ,2000 , 3000,"Children estimates were not available at the time of publication.",2200 ,1800 , 2800,"Children estimates were not available at the time of publication.",2000 ,1600 , 2600,"Children estimates were not available at the time of publication.",1900 ,1500 , 2400,"Children estimates were not available at the time of publication.",1900 ,1500 , 2400,"Children estimates were not available at the time of publication.",1900 ,1400 , 2400,"Children estimates were not available at the time of publication.",1700 ,1300 , 2200,"Children estimates were not available at the time of publication.",1600 ,1200 , 2100,"Children estimates were not available at the time of publication.",1400 ,1100 , 1900,"Children estimates were not available at the time of publication.",1300 ,<1000 , 1800,"Children estimates were not available at the time of publication.",1200 ,<1000 , 1600,"Children estimates were not available at the time of publication.",1100 ,<1000 , 1400,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1300,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1200,"Children estimates were not available at the time of publication.",<1000 ,<1000 , 1100,"Children estimates were not available at the time of publication.",<1000 ,<1000 , <1000,"Children estimates were not available at the time of publication.",<1000 ,<500 , <1000,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<100 , <500,,<500 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1000,,<1000 ,<500 , 1200,,1000 ,<1000 , 1500,,1200 ,<1000 , 1700,,1400 ,<1000 , 1900,,1600 ,1000 , 2100,,1700 ,1200 , 2400,,1900 ,1400 , 2600,,2100 ,1500 , 2700,,2200 ,1600 , 2900,,2400 ,1800 , 3100,,2500 ,1800 , 3200,,2600 ,1900 , 3300,,2600 ,1900 , 3400,,2600 ,1900 , 3500,,2600 ,1800 , 3400,,2400 ,1700 , 3200,,2300 ,1600 , 3000,,2100 ,1500 , 2800,
Bahamas,<500 ,<100 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , 1200,,<1000 ,<1000 , 1400,,1000 ,<1000 , 1600,,1200 ,1000 , 1800,,1300 ,1200 , 1800,,1500 ,1300 , 1800,,1600 ,1500 , 1800,,1700 ,1600 , 1900,,1900 ,1700 , 2000,,1900 ,1700 , 2100,,1900 ,1800 , 2100,,2000 ,1800 , 2200,,2000 ,1800 , 2200,,1900 ,1800 , 2100,,1900 ,1700 , 2100,,1800 ,1600 , 2000,,1800 ,1600 , 2000,,1800 ,1600 , 2000,,1800 ,1600 , 2000,,1700 ,1600 , 2000,,1600 ,1500 , 1900,,1600 ,1400 , 1800,,1600 ,1400 , 1700,,1400 ,1200 , 1600,,1300 ,1100 , 1500,,... ,... , ...,,... ,... , ...,,... ,... , ...,
