"","year","deaths","orphans_prev","orphans_inc"
"1",1990,129900,859500,238373.685459712
"2",1991,172600,1192100,316730.547423759
"3",1992,225500,1612000,413804.973604043
"4",1993,281800,2116700,517118.587856404
"5",1994,346100,2706900,635112.644631304
"6",1995,412700,3367000,757327.328631434
"7",1996,484400,4114600,888900.794739682
"8",1997,554600,4920400,1017721.67787495
"9",1998,624600,5749700,1146175.54994716
"10",1999,692100,6616400,1270041.78373108
"11",2000,752200,7493000,1380328.60818164
"12",2001,799100,8392800,1466392.70247002
"13",2002,847500,9206400,1555209.37973138
"14",2003,874800,10030500,1605306.38983954
"15",2004,884800,10660700,1623656.94299271
"16",2005,839800,11473300,1541079.45380344
"17",2006,788100,11909500,1446207.09400153
"18",2007,701400,12392800,1287107.79816353
"19",2008,613800,12729800,1126356.95254174
"20",2009,551900,12790900,1012767.0285236
"21",2010,491800,12779900,902480.204073029
"22",2011,449900,12743000,825591.386361236
"23",2012,417900,12589300,766869.616271084
"24",2013,384500,12599600,705578.768739487
"25",2014,355800,12371900,652912.681189882
"26",2015,336100,12145400,616762.091478132
"27",2016,312000,11808500,572537.258378986
"28",2017,293700,11375300,538955.74610868
"29",2018,269600,10995100,494730.913009534
"30",2019,254500,10744700,467021.577748243
"31",2020,238700,10265300,438027.70376623
"32",2021,220500,9821900,404629.697027456
"33",2022,208200,9288300,382058.516649054
